TNA reference	Context: subseries title	Context: sub subseries title	scope_content	date_text	first_date	last_date	former_reference_department	note_text	closure_status	closure_type	closure_code	piece_id	cat_level
fo 881/1			UNITED STATES: Statement. North-East Boundary. First British Statement 	1829	18290101	18291231		Bound: America 6.	O	N	30	4534436	6
fo 881/1A			UNITED STATES: Statement. North-East Boundary. Second British Statement 	1829	18290101	18291231		Bound: America 6.	O	N	30	4534437	6
fo 881/1B			UNITED STATES: Statement. North-East Boundary. First United States Statement 	1829	18290101	18291231		Bound: America 7.	O	N	30	4534438	6
fo 881/1C			UNITED STATES: Statement. North-East Boundary. Second United States Statement. Definitive 	1829	18290101	18291231		Bound: America 7.	O	N	30	4534439	6
fo 881/1D			UNITED STATES: Documents, Maps, &#38;c. North-East Boundary. First United States Statement. Missing at transfer 	1829	18290101	18291231			O	N	30	4534440	6
fo 881/2			UNITED STATES: Papers. Negotiations with Great Britain. Boundaries 	1824	18240101	18241231		Bound: America 4.	O	N	30	4534431	6
fo 881/3			UNITED STATES: Papers. Boundary Negotiations 	1813-1826	18130101	18261231		Bound: America 4. Copy	O	N	30	4534433	6
fo 881/4			UNITED STATES: Memo. Maine Territory. North-East Boundary 	1839	18390101	18391231		Bound: America 9.	O	N	30	4534446	6
fo 881/5			BELGIUM: Protocols. Protocols. 1-70 	1830-1832	18300101	18321231		Bound: Belgium 1.	O	N	30	4525801	6
fo 881/5A			BELGIUM: Protocols (embodied in no.5 above). Missing at transfer  	1831	18310101	18311231			O	N	30	7787323	6
fo 881/6			GREECE &amp; TURKEY: Protocols. Constantinople 	1827-43	18270101	18431231		Bound: Greece 4 168 pp	O	N	30	4530141	6
fo 881/6A			GREECE: Protocols Constantinople 	1827	18270101	18271231			O	N	30	4982509	6
fo 881/6B			GREECE: Protocols 43-74 (excepting 47, 48, 49). Missing at transfer 	1827	18270101	18271231			O	N	30	4982510	6
fo 881/6C			GREECE: Protocols London Part 	1827-28	18270101	18281231			O	N	30	7787324	6
fo 881/6D			GREECE: Protocols, London Part 	1828	18280101	18281231			O	N	30	7787325	6
fo 881/6E			GREECE: Protocols, London, Part 	1829-30	18290101	18301231			O	N	30	7787326	6
fo 881/6F			GREECE: Protocols. Missing at transfer  	1833	18330101	18331231			O	N	30	7787327	6
fo 881/6G			GREECE: Protocols. Missing at transfer  	1829-43	18290101	18431231			O	N	30	7787328	6
fo 881/6H			GREECE: Conference Protocols London 	1829	18290101	18291231			O	N	30	7919497	6
fo 881/6J			GREECE: Protocols. Missing at transfer  	1829-43	18290101	18431231			O	N	30	7787330	6
fo 881/6K			GREECE: Protocols. Missing at transfer  	1829-43	18290101	18431231			O	N	30	7787331	6
fo 881/6L			GREECE: Protocols. Missing at transfer  	1829-43	18290101	18431231			O	N	30	7787333	6
fo 881/7			GENERAL: Regulations. Foreign Service Messengers 	1844	18440101	18441231		Bound: General 4.	O	N	30	4528654	6
fo 881/8			BELGIUM &amp; NETHERLANDS: Narrative. Holland and Belgium. Separation 	1830-1835	18300101	18351231		Bound: Belgium 1.	O	N	30	4525800	6
fo 881/9			UNITED STATES: UNITED STATES: Seizure of the 'Caroline' 	1838	18380101	18381231		82 pp.	O	N	30	7860534	6
fo 881/9X			ARGENTINE REPUBLIC (BUENOS AYRES): Draft Treaty. Slave Trade. Argentine Republic. Missing at transfer  	1838	18380101	18381231		Argentine Republic = Buenos Ayres Bound: Argentine 5	O	N	30	4525373	6
fo 881/10			NETHERLANDS: Memo. Eastern Archipelago. Proceedings of Dutch. Treaty of 1824 	Dec. 16, 1841	18411216	18411216		Bound: Netherlands 2.	O	N	30	4531152	6
fo 881/11			NETHERLANDS: Memo. Eastern Archipelago. Discussions with Netherlands. Map showing Territory claimed by Holland 	Aug. 1, 1846	18460801	18460801		Bound: Netherlands 3.	O	N	30	4531153	6
fo 881/12			"UNITED STATES: Corres. Case of the ""Caroline."" Mr. McLeod's Arrest "	1840-1841	18400101	18411231		Bound: America 8.	O	N	30	4534451	6
fo 881/13			"UNITED STATES: Corres. Case of the ""Caroline."" Mr. McLeod's Arrest "	1841-1842	18410101	18421231		Bound: America 8.	O	N	30	4534452	6
fo 881/14			UNITED STATES: Papers. North-West Boundary. Negotiations 	1824	18240101	18241231		Bound: America 4.	O	N	30	4534432	6
fo 881/15			UNITED STATES: Papers. North-West Boundary. Negotiations 	1826-1827	18260101	18271231		Bound: America 4.	O	N	30	4534435	6
fo 881/16			UNITED STATES: Corres. North-East Boundary 	1840-1841	18400101	18411231		Bound: America 9.	O	N	30	4534450	6
fo 881/17			GENERAL: Corres. Plague and Quarantine 	1836-1842	18360101	18421231		Bound: General 3.	O	N	30	4528645	6
fo 881/18			TURKEY: Memo. British Jurisdiction. Criminal Cases. Levant 	1844	18440101	18441231		Bound: Mema.	O	N	30	4533102	6
fo 881/19			AFRICA &amp; FRANCE: Corres. French Proceedings on West Coast of Africa 	1842-1846	18420101	18461231		Bound: Africa 65.	O	N	30	4524196	6
fo 881/20			FRANCE: Papers. Portendic Claims 	1834-1835	18340101	18351231		Bound: France 6.	O	N	30	4528024	6
fo 881/21			FRANCE: Corres. Portendic Claims 	1843	18430101	18431231		Bound: France 6.	O	N	30	4528033	6
fo 881/22			FRANCE: Corres. Portendic Claims. Supplements; Parts A-D 	1843-1844	18430101	18441231		Bound: France 6. 22-99 pp; 22A (missing at transfer); 22B-24 pp; 22C-25 pp; 22D	O	N	30	4528035	6
fo 881/23			MEXICO: Abstract. British Flag displayed among Mexican War Trophies 	1844	18440101	18441231		Bound: Mexico 1.	O	N	30	4530883	6
fo 881/24			EGYPT: Corres. Purification enforced for Residence in a Plague House 	1842-1843	18420101	18431231		Bound: Turkey 1.	O	N	30	4527384	6
fo 881/25			UNITED STATES: Corres. Rough Rice Duties 	1839-1845	18390101	18451231		Bound: America 10.	O	N	30	4534458	6
fo 881/26			SPAIN: Memo. Political Events. From abrogation of Salique Law to question of Succession to Throne 	1836-1837	18360101	18371231		Bound: Spain 2.	O	N	30	4532719	6
fo 881/27			TURKEY: Corres. Affairs of Levant. Parts 1-4 	1839-1841	18390101	18411231		Bound: Turkey 6.	O	N	30	4533094	6
fo 881/28			HANOVER: Corres. Stade Dues. Part 1 	1830-1842	18300101	18421231		Bound: Hanover 1.	O	N	30	4530326	6
fo 881/28A			HANOVER: Tariff. Stade Dues 	1821	18210101	18211231		Bound: Hanover 1.	O	N	30	4530325	6
fo 881/28B			HANOVER: Memo. Stade Dues. Part 1 	1842-1843	18420101	18431231		Bound: Mema.	O	N	30	4530327	6
fo 881/28C			HANOVER: Memo. Sound and Stade Dues 	1842	18420101	18421231		Bound: Hanover 1.	O	N	30	4530328	6
fo 881/29			RUSSIA: Papers. Poland. Congress Papers. Missing at transfer 	1847	18470101	18471231			O	N	30	4532210	6
fo 881/30			SWITZERLAND: Corres. Civil War. Mediation of Five Powers 	1847	18470101	18471231		Bound: Switzerland 1. 	O	N	30	4532969	6
fo 881/30A			SWITZERLAND: Desp. Civil War. Mediation of Five Powers. Missing at transfer 	1847	18470101	18471231			O	N	30	4532970	6
fo 881/31			FRANCE: Corres. Expulsion of French Consul from Mauritius 	1846	18460101	18461231		Bound: France 5.	O	N	30	4528042	6
fo 881/32			PRUSSIA: Draft. Convention. Copyright 	1846	18460101	18461231		Bound: Prussia 1.	O	N	30	4532119	6
fo 881/33			NETHERLANDS &amp; RUSSIA: Memo. Russian Dutch Loan 	Mar 6 1847	18470306	18470306		Bound: Mema.	O	N	30	4531155	6
fo 881/34			AUSTRIA: Papers. Cracow. Annexation 	1845-1847	18450101	18471231		Bound: Austria 1.	O	N	30	4525629	6
fo 881/35			"ITALY: ""Notizie del Giorno"". Plan of Grand National Association for Liberation of Italy "	Nov. 22, 1832	18321122	18321122		Bound: Italy 1.	O	N	30	4530404	6
fo 881/35A			"ITALY: Address. M. Mazzini to the People of Italy. ""Ricordi dei fratelli Bandiera"" "	1845	18450101	18451231		Bound: Italy 1.	O	N	30	4530405	6
fo 881/35B			BADEN &amp; SWITZERLAND: Corres. Mazzini's Plot to Revolutionise Baden 	1836	18360101	18361231		Bound: Switzerland 1.	O	N	30	4525793	6
fo 881/35C			SICILY: Papers. Insurrectionary Expedition to Calabria by Corfu Refugees 	1844	18440101	18441231		Bound: Sicily 1.	O	N	30	4532687	6
fo 881/36			AUSTRIA: Memo. M. Rayson's Claim 	1837-1843	18370101	18431231		Bound: Mema.	O	N	30	4525627	6
fo 881/37			GREECE: Corres. Affairs of Greece 	1841-1844	18410101	18441231		Bound: Greece 5.	O	N	30	4530144	6
fo 881/38			SPAIN: Corres. Spanish Marriages. Parts 1, 2, and Appendix. Missing at transfer 	1842-1847	18420101	18471231		Bound: Spain 2	O	N	30	4532723	6
fo 881/39			ITALY: Corres. Affairs of Italy 	1846-1847	18460101	18471231		Bound: Italy 1.	O	N	30	4530407	6
fo 881/40			PORTUGAL: Corres. Insurrection in Portugal 	1846-1847	18460101	18471231		Bound: Portugal 1.	O	N	30	4531899	6
fo 881/41			FRANCE: Proceedings. French Chambers. Egypt and Syria 	1840	18400101	18401231		Bound: France 8.	O	N	30	4528028	6
fo 881/42			FRANCE &amp; SPAIN: Proceedings. French Chambers. Spanish Marriages 	1847	18470101	18471231		Bound: France 9.	O	N	30	4528044	6
fo 881/43			SWITZERLAND: Corres. Affairs of Switzerland. Civil War 	1844-1848	18440101	18481231		Bound: Switzerland 1.	O	N	30	4532971	6
fo 881/44			EGYPT: Memo. British Interests and Policy in Egypt. (Consul R. J. L. Stoddart) 	1847	18470101	18471231		Bound: Turkey 7.	O	N	30	4527388	6
fo 881/45			AFRICA: Memo. Niger Expedition 	1840	18400101	18401231		Bound: Africa 2.	O	N	30	4524195	6
fo 881/46			SWITZERLAND: Memo. Dissensions and Disturbances 	1846	18460101	18461231		Bound: Mema.	O	N	30	4532968	6
fo 881/47			SWITZERLAND: Further Corres. Affairs of Switzerland. Civil War 	1847-1848	18470101	18481231		Bound: Switzerland 1.	O	N	30	4532972	6
fo 881/48			SPAIN: Corres. Spanish Marriages. Parts A, B, C and D Appendix 	1846-1847	18460101	18471231		Bound: Spain 2.	O	N	30	4532724	6
fo 881/48A			SPAIN: Correspondence. Spanish marriages. 4 parts. Part A. 	1846-1847	18460101	18471231		24 pp.	O	N	30	7907256	6
