TNA reference	Context: subseries title	Context: sub subseries title	scope_content	date_text	first_date	last_date	former_reference_department	note_text	closure_status	closure_type	closure_code	piece_id	cat_level
wo 97/1	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		Household Cavalry: Abe - Ber 	1760-1854	1.7600101E7	1.8541231E7			O	N	30.0	688939.0	6.0
wo 97/1/1	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOSEPH ATTENFIELD alias JOSEPH ALLENFIELD  Born PRAGUE, Bohemia  Served in 1st Life Guards  Discharged aged 32  	1816-1818	1.8160101E7	1.8181231E7			O	N	30.0	-3875548.0	7.0
wo 97/1/2	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  WILLIAM BERRY   Born OVERTON, Cheshire  Served in Royal Horse Guards  Discharged aged 39  	1812-1833	1.8120101E7	1.8331231E7			O	N	30.0	-3875549.0	7.0
wo 97/1/3	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  EZEKIEL ABEAR   Born WARGRAVE, Berkshire  Served in 2nd Life Guards  Discharged aged 31  	1833-1846	1.8330101E7	1.8461231E7			O	N	30.0	-3875550.0	7.0
wo 97/1/4	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  HENRY ABBEY   Born YORK, Yorkshire  Served in 1st Life Guards  Discharged aged 22  	1829-1833	1.8290101E7	1.8331231E7			O	N	30.0	-3875551.0	7.0
wo 97/1/5	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  RICHARD ABBEY   Born HIGH CATTEN, Yorkshire  Served in 1st Life Guards  Discharged aged 31  	1815-1828	1.8150101E7	1.8281231E7			O	N	30.0	-3875552.0	7.0
wo 97/1/6	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  SAMUEL ACKROYD   Born BRADFORD, Yorkshire  Served in 31st Foot Regiment; 2nd Life Guards  Discharged aged 46  	1799-1816	1.7990101E7	1.8161231E7			O	N	30.0	-3875553.0	7.0
wo 97/1/7	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JAMES ACKWOOD   Born ROCKDALE, Yorkshire  Served in 1st Life Guards  Discharged aged 27  	1809-1818	1.8090101E7	1.8181231E7			O	N	30.0	-3875554.0	7.0
wo 97/1/8	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  JOHN ADDY   Born ECCLESFIELD, Yorkshire  Served in 2nd Life Guards  Discharged aged 34  	1813-1827	1.8130101E7	1.8271231E7			O	N	30.0	-3875555.0	7.0
wo 97/1/9	1760-1854: discharge papers arranged by regiment, but each described at item level. (WO 97/1-1271)		  THOMAS ADDY   Born KIRKHEATON, Yorkshire  Served in 1st Life Guards  Discharged aged 53  	1812-1845	1.8120101E7	1.8451231E7			O	N	30.0	-3875556.0	7.0
